Rank,Hospital Name,URL,IP,Verified?,Distance,Latitude,Longitude,City,State,Others,owner,ISP name
1,Cleveland Clinic,http://my.clevelandclinic.org/,192.35.79.223,?,,41.5526,-81.5603,Cleveland,Ohio,,s,
2,St Jude Children's Research Hospital,http://www.stjude.org/,66.162.22.232,?,,35.155,-90.0419,Memphis (Uptown Neighborhood Association),Tennessee,,s,
3,Johns Hopkins Medicine,http://www.hopkinsmedicine.org/,162.129.6.20,?,,39.2974,-76.5908,Baltimore,Maryland,,s,
4,Mayo Clinic Scottsdale AZ,http://www.mayoclinic.org/,129.176.217.220,?,,44.0221,-92.4667,Rochester,Minnesota,,s,
5,University of Maryland Medical Center,http://umm.edu/,209.251.35.246,?,,39.4861,-76.6639,Cockeysville,Maryland,,ISP,System Source
6,M D Anderson Cancer Center,http://www.mdanderson.org/,143.111.1.53,?,,29.7071,-95.3972,Houston (South Central Houston),Texas,,s,
7,Massachusetts General Hospital,http://www.massgeneral.org/,170.223.157.38,?,1 mile,42.3399,-71.0899,Boston,Massachusetts,Partners HealthCare System Inc.,ISP,Partners HealthCare System Inc.
8,Memorial Sloan Kettering Cancer Center,http://www.mskcc.org/,140.163.1.152,?,0.5 mile,40.7694,-73.9553,New York (Manhattan),New York,,s,
9,New York Presbyterian / Lower Manhattan Hospital,http://nyp.org/,143.104.110.50,x,5 miles,40.7643,-73.9543,New York,New York,Pointing at NewYork-Presbyterian/Weill Cornell Medical Center,s,
10,Providence Health & Services,http://www2.providence.org/,207.189.100.48,x,?,38.9099,-77.4523,Chantilly,Virginia,Different Hospitals and Clinics in US,ISP,Vw Cust 84685
11,Deer's Head Hospital Center,http://dhmh.maryland.gov/,167.102.229.23,x,90 miles,38.9784,-76.4922,Annapolis,Maryland,Pointing at Naval Acadamy,ISP,Maryland State Gov
12,Beth Israel Deaconess Medical Center Needham,http://www.bidmc.org/,134.174.104.48,x,10 miles,42.3803,-71.1389,Cambridge,Massachusetts,,ISP,Longwood Medical And Academic Area (Harvard)
13,Aurora Health Care,http://www.aurorahealthcare.org/,198.177.77.3,?,,42.9912,-87.9494,Milwaukee (Southgate),Wisconsin,,s,
14,Advocate Health Care,http://www.advocatehealth.com/,199.117.41.73,x,900 miles,39.7475,-104.99,Denver,Colorado,"IL Hospitals, Website closed but domain remains registered",ISP,Century Link
15,University of Pittsburgh Medical Center,http://www.upmc.com/,128.147.244.108,?,,40.4419,-79.9604,Pittsburgh,Pennsylvania,,s,
16,Brigham and Women's Hospital,http://www.brighamandwomens.org/,170.223.157.39,?,,42.3399,-71.0899,Boston,Massachusetts,Partners HealthCare System Inc.,ISP,Partners HealthCare System Inc.
